file,line,type,match,context
"src/components/accessibility/SkipLink.css","22","hardcodedTypography","font-weight: 500","  font-weight: 500; "
"src/components/components.css","485","hardcodedSpacing","width: 100%","  width: 100%; "
"src/components/components.css","976","hardcodedSpacing","width: 100%","  width: 100%; "
"src/components/components.css","1099","hardcodedSpacing","width: 40%","  width: 40%; "
"src/components/components.css","1100","hardcodedSpacing","height: 40%","  height: 40%; "
"src/components/components.css","1112","hardcodedSpacing","width: 40%","  width: 40%; "
"src/components/components.css","1113","hardcodedSpacing","height: 40%","  height: 40%; "
"src/components/components.css","1216","hardcodedSpacing","width: 100%","  width: 100%; "
"src/components/components.css","94","hardcodedTypography","font-weight: 500","  font-weight: 500; "
"src/components/components.css","113","hardcodedTypography","font-weight: 500","  font-weight: 500; "
"src/components/components.css","141","hardcodedTypography","font-weight: 900","  font-weight: 900; "
"src/components/components.css","157","hardcodedTypography","font-weight: 500","  font-weight: 500; "
"src/components/components.css","236","hardcodedTypography","font-weight: 500","  font-weight: 500; "
"src/components/components.css","243","hardcodedTypography","font-weight: 900","  font-weight: 900; "
"src/components/components.css","254","hardcodedTypography","font-weight: 500","  font-weight: 500; "
"src/components/components.css","281","hardcodedTypography","font-weight: 900","  font-weight: 900; "
"src/components/components.css","852","hardcodedTypography","font-weight: 900","  font-weight: 900; "
"src/components/components.css","859","hardcodedTypography","font-weight: 900","  font-weight: 900; "
"src/components/components.css","914","hardcodedTypography","font-weight: 900","  font-weight: 900; "
"src/components/components.css","929","hardcodedTypography","font-weight: 900","  font-weight: 900; "
"src/components/components.css","963","hardcodedTypography","font-weight: 900","  font-weight: 900; "
"src/components/components.css","986","hardcodedTypography","font-weight: 900","  font-weight: 900; "
"src/components/components.css","1063","hardcodedTypography","font-weight: 900","  font-weight: 900; "
"src/components/components.css","1076","hardcodedTypography","font-weight: 700","  font-weight: 700; "
"src/components/components.css","1181","hardcodedTypography","font-weight: 900","  font-weight: 900; "
"src/components/components.css","1189","hardcodedTypography","font-weight: 900","  font-weight: 900; "
"src/components/components.css","1258","hardcodedTypography","font-weight: 900","  font-weight: 900; "
"src/components/components.css","1268","hardcodedTypography","font-weight: 700","  font-weight: 700; "
"src/components/components.css","1273","hardcodedTypography","font-weight: 500","  font-weight: 500; "
"src/components/EvaluationModule.css","19","hardcodedTypography","font-weight: 900","    font-weight: 900; "
